global_timestamp,previous_timestamp,next_timestamp,id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,outcome_name,outcome_price,outcome_point
2022-11-15T10:55:38Z,2022-11-15T10:50:38Z,2022-11-15T11:00:38Z,e0798499a67017b5837ab3fb09e24777,americanfootball_nfl,NFL,2022-11-18T01:15:00Z,Green Bay Packers,Tennessee Titans,draftkings,DraftKings,2022-11-15T10:52:34Z,h2h,2022-11-15T10:52:34Z,Green Bay Packers,-170,
2022-11-15T10:55:38Z,2022-11-15T10:50:38Z,2022-11-15T11:00:38Z,e0798499a67017b5837ab3fb09e24777,americanfootball_nfl,NFL,2022-11-18T01:15:00Z,Green Bay Packers,Tennessee Titans,draftkings,DraftKings,2022-11-15T10:52:34Z,h2h,2022-11-15T10:52:34Z,Tennessee Titans,145,
2022-11-15T10:55:38Z,2022-11-15T10:50:38Z,2022-11-15T11:00:38Z,e0798499a67017b5837ab3fb09e24777,americanfootball_nfl,NFL,2022-11-18T01:15:00Z,Green Bay Packers,Tennessee Titans,draftkings,DraftKings,2022-11-15T10:52:34Z,spreads,2022-11-15T10:52:34Z,Green Bay Packers,-105,-3.5
2022-11-15T10:55:38Z,2022-11-15T10:50:38Z,2022-11-15T11:00:38Z,e0798499a67017b5837ab3fb09e24777,americanfootball_nfl,NFL,2022-11-18T01:15:00Z,Green Bay Packers,Tennessee Titans,draftkings,DraftKings,2022-11-15T10:52:34Z,spreads,2022-11-15T10:52:34Z,Tennessee Titans,-115,3.5
2022-11-15T10:55:38Z,2022-11-15T10:50:38Z,2022-11-15T11:00:38Z,e0798499a67017b5837ab3fb09e24777,americanfootball_nfl,NFL,2022-11-18T01:15:00Z,Green Bay Packers,Tennessee Titans,draftkings,DraftKings,2022-11-15T10:52:34Z,totals,2022-11-15T10:52:34Z,Over,-110,41.5
2022-11-15T10:55:38Z,2022-11-15T10:50:38Z,2022-11-15T11:00:38Z,e0798499a67017b5837ab3fb09e24777,americanfootball_nfl,NFL,2022-11-18T01:15:00Z,Green Bay Packers,Tennessee Titans,draftkings,DraftKings,2022-11-15T10:52:34Z,totals,2022-11-15T10:52:34Z,Under,-110,41.5
2022-11-15T10:55:38Z,2022-11-15T10:50:38Z,2022-11-15T11:00:38Z,e0798499a67017b5837ab3fb09e24777,americanfootball_nfl,NFL,2022-11-18T01:15:00Z,Green Bay Packers,Tennessee Titans,pointsbetus,PointsBet (US),2022-11-15T10:52:50Z,h2h,2022-11-15T10:52:50Z,Green Bay Packers,-160,
2022-11-15T10:55:38Z,2022-11-15T10:50:38Z,2022-11-15T11:00:38Z,e0798499a67017b5837ab3fb09e24777,americanfootball_nfl,NFL,2022-11-18T01:15:00Z,Green Bay Packers,Tennessee Titans,pointsbetus,PointsBet (US),2022-11-15T10:52:50Z,h2h,2022-11-15T10:52:50Z,Tennessee Titans,135,
2022-11-15T10:55:38Z,2022-11-15T10:50:38Z,2022-11-15T11:00:38Z,e0798499a67017b5837ab3fb09e24777,americanfootball_nfl,NFL,2022-11-18T01:15:00Z,Green Bay Packers,Tennessee Titans,pointsbetus,PointsBet (US),2022-11-15T10:52:50Z,spreads,2022-11-15T10:52:50Z,Green Bay Packers,-115,-3.0
2022-11-15T10:55:38Z,2022-11-15T10:50:38Z,2022-11-15T11:00:38Z,e0798499a67017b5837ab3fb09e24777,americanfootball_nfl,NFL,2022-11-18T01:15:00Z,Green Bay Packers,Tennessee Titans,pointsbetus,PointsBet (US),2022-11-15T10:52:50Z,spreads,2022-11-15T10:52:50Z,Tennessee Titans,100,3.0
