global_timestamp,previous_timestamp,next_timestamp,id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,outcome_name,outcome_price,outcome_point
2023-02-06T10:55:38Z,2023-02-06T10:50:38Z,2023-02-06T11:00:38Z,98235f33b2e4e22ef073588d0c3af6d8,americanfootball_nfl,NFL,2023-02-12T23:35:00Z,Philadelphia Eagles,Kansas City Chiefs,draftkings,DraftKings,2023-02-06T10:55:20Z,h2h,2023-02-06T10:55:20Z,Kansas City Chiefs,105,
2023-02-06T10:55:38Z,2023-02-06T10:50:38Z,2023-02-06T11:00:38Z,98235f33b2e4e22ef073588d0c3af6d8,americanfootball_nfl,NFL,2023-02-12T23:35:00Z,Philadelphia Eagles,Kansas City Chiefs,draftkings,DraftKings,2023-02-06T10:55:20Z,h2h,2023-02-06T10:55:20Z,Philadelphia Eagles,-125,
2023-02-06T10:55:38Z,2023-02-06T10:50:38Z,2023-02-06T11:00:38Z,98235f33b2e4e22ef073588d0c3af6d8,americanfootball_nfl,NFL,2023-02-12T23:35:00Z,Philadelphia Eagles,Kansas City Chiefs,draftkings,DraftKings,2023-02-06T10:55:20Z,spreads,2023-02-06T10:55:20Z,Kansas City Chiefs,-110,1.5
2023-02-06T10:55:38Z,2023-02-06T10:50:38Z,2023-02-06T11:00:38Z,98235f33b2e4e22ef073588d0c3af6d8,americanfootball_nfl,NFL,2023-02-12T23:35:00Z,Philadelphia Eagles,Kansas City Chiefs,draftkings,DraftKings,2023-02-06T10:55:20Z,spreads,2023-02-06T10:55:20Z,Philadelphia Eagles,-110,-1.5
2023-02-06T10:55:38Z,2023-02-06T10:50:38Z,2023-02-06T11:00:38Z,98235f33b2e4e22ef073588d0c3af6d8,americanfootball_nfl,NFL,2023-02-12T23:35:00Z,Philadelphia Eagles,Kansas City Chiefs,draftkings,DraftKings,2023-02-06T10:55:20Z,totals,2023-02-06T10:55:20Z,Over,-110,50.5
2023-02-06T10:55:38Z,2023-02-06T10:50:38Z,2023-02-06T11:00:38Z,98235f33b2e4e22ef073588d0c3af6d8,americanfootball_nfl,NFL,2023-02-12T23:35:00Z,Philadelphia Eagles,Kansas City Chiefs,draftkings,DraftKings,2023-02-06T10:55:20Z,totals,2023-02-06T10:55:20Z,Under,-110,50.5
2023-02-06T10:55:38Z,2023-02-06T10:50:38Z,2023-02-06T11:00:38Z,98235f33b2e4e22ef073588d0c3af6d8,americanfootball_nfl,NFL,2023-02-12T23:35:00Z,Philadelphia Eagles,Kansas City Chiefs,barstool,Barstool Sportsbook,2023-02-06T10:54:04Z,h2h,2023-02-06T10:54:04Z,Kansas City Chiefs,100,
2023-02-06T10:55:38Z,2023-02-06T10:50:38Z,2023-02-06T11:00:38Z,98235f33b2e4e22ef073588d0c3af6d8,americanfootball_nfl,NFL,2023-02-12T23:35:00Z,Philadelphia Eagles,Kansas City Chiefs,barstool,Barstool Sportsbook,2023-02-06T10:54:04Z,h2h,2023-02-06T10:54:04Z,Philadelphia Eagles,-122,
2023-02-06T10:55:38Z,2023-02-06T10:50:38Z,2023-02-06T11:00:38Z,98235f33b2e4e22ef073588d0c3af6d8,americanfootball_nfl,NFL,2023-02-12T23:35:00Z,Philadelphia Eagles,Kansas City Chiefs,barstool,Barstool Sportsbook,2023-02-06T10:54:04Z,spreads,2023-02-06T10:54:04Z,Kansas City Chiefs,-110,1.5
2023-02-06T10:55:38Z,2023-02-06T10:50:38Z,2023-02-06T11:00:38Z,98235f33b2e4e22ef073588d0c3af6d8,americanfootball_nfl,NFL,2023-02-12T23:35:00Z,Philadelphia Eagles,Kansas City Chiefs,barstool,Barstool Sportsbook,2023-02-06T10:54:04Z,spreads,2023-02-06T10:54:04Z,Philadelphia Eagles,-110,-1.5
